Word,Frequency
gross,10
negative,7
slower,5
shortage,3
virus,3
decline,2
weaker,2
threaten,2
weak,2
unemployed,2
outbreak,2
fall,2
losses,2
delay,1
devastating,1
slowly,1
risks,1
downturn,1
pan,1
severe,1
downside,1
worrying,1
inflationary,1
infection,1
disruption,1
steep,1
challenging,1
slow,1
uneven,1
worsening,1
warning,1
crude,1
slump,1
weakening,1
worst,1
restriction,1
wary,1
