Word,Frequency
risks,5
gross,4
risk,3
downside,3
inflationary,3
infections,2
frictions,2
slower,2
protracted,2
virus,2
conservative,1
sharply,1
problems,1
fall,1
mar,1
damaging,1
worse,1
hindrance,1
disorderly,1
interruptions,1
lose,1
infection,1
exacerbate,1
slow,1
volatility,1
lagged,1
dent,1
crude,1
slump,1
lagging,1
warned,1
uncertain,1
debt,1
conflict,1
